客户号,客户姓名,证件号码,年龄,性别,婚姻状态,教育程度,职业类别,户籍,居住类型,车辆情况,保险缴纳,工作年限,个人年收入,信贷情况
0000999993810757,蓟钒偕,646624****04131763,26,男,已婚,初中及以下,私营企业,宁夏,租房,无,无,13,21368,现在没有贷款
0000999993810768,逮烤捅,429361****05070887,28,男,未婚,高中,私营企业,湖北,租房,无,无,10,21388,正在偿还
0000999993810779,秦矣抗,426857****06216483,28,男,未婚,高中,外资企业,湖北,租房,无,无,10,21388,现在没有贷款
0000999993810780,郝菜废,509150****11235141,30,女,未婚,高中,私营企业,重庆,自购房,有,有,12,21388,现在没有贷款
0000999993810791,谭斗稳,315346****12099099,37,男,未婚,大专,私营企业,上海,租房,无,无,17,21388,现在没有贷款
0000999993810804,谈涌佬,367787****12219501,40,男,已婚,初中及以下,个体户,江西,租房,无,无,11,21388,现在没有贷款
0000999993810815,应沟挪,378381****06081184,49,男,未婚,高中,私营企业,山东,租房,无,无,31,21388,现在没有贷款
0000999993810826,琳仿,650762****07157519,22,女,离异,本科,私营企业,北京,自购房,有,有,0,21388,现在没有贷款
0000999993810837,张裙宰,510341****08116073,24,男,未婚,本科,外资企业,四川,租房,无,无,1,21388,现在没有贷款
0000999993810848,仲人撇,617968****04142163,42,男,未婚,本科,个体户,陕西,自购房,有,有,19,21388,现在没有贷款
0000999993810859,姬骨旧,546602****03101519,29,男,未婚,大专,其他企业,北京,自购房,有,有,9,21415,还在拖欠
0000999993810860,毛奖章,351332****09217355,24,男,已婚,本科,私营企业,福建,自购房,有,有,1,21415,正常还款
0000999993810871,古诠鞘,377521****01181976,31,男,已婚,本科,私营企业,山东,自购房,有,有,8,21415,现在没有贷款
0000999993810882,厍汤寡,506615****01256763,36,女,未婚,本科,私营企业,重庆,租房,无,有,13,21415,正在偿还
0000999993810893,吕谆孙,438712****03145013,24,男,未婚,本科,私营企业,湖南,租房,无,有,1,21415,正在偿还
0000999993810906,季承硕,237520****08094371,29,男,未婚,大专,私营企业,黑龙江,租房,无,无,9,21415,正常还款
0000999993810917,越胸骄,111287****02226892,29,男,未婚,本科,私营企业,北京,租房,无,有,6,21415,正在偿还
0000999993810928,韩段滤,635093****07142202,51,男,未婚,本科,私营企业,青海,租房,无,有,28,21415,现在没有贷款
0000999993810939,巫铰超,117524****06175854,39,男,已婚,本科,个体户,北京,租房,无,有,16,21415,现在没有贷款
0000999993810940,东乓雅,152693****04200324,24,女,未婚,本科,外资企业,内蒙古,租房,无,有,1,21424,现在没有贷款
0000999993810951,安旨猛,653996****06132483,27,女,未婚,硕士及以上,其他企业,北京,租房,无,有,2,21424,现在没有贷款
0000999993810962,路档环,469247****03071250,32,男,未婚,本科,外资企业,海南,自购房,有,有,9,21424,现在没有贷款
0000999993810973,文菏亿,658524****01022659,24,男,未婚,本科,外资企业,北京,租房,无,有,1,21424,现在没有贷款
0000999993810984,宣籽姆,362351****09307661,24,女,未婚,本科,私营企业,江西,自购房,有,有,1,21424,现在没有贷款
0000999993810995,班角善,369457****01308803,29,男,未婚,大专,私营企业,江西,租房,无,无,9,21424,现在没有贷款
0000999993811003,戚木褐,111808****05041341,25,女,未婚,本科,私营企业,北京,租房,无,有,2,21424,现在没有贷款
0000999993811014,缪趟鼐,436869****05317304,25,男,未婚,本科,私营企业,湖南,自购房,有,有,2,21424,正常还款
0000999993811025,扶驳势,235062****08100488,23,女,已婚,硕士及以上,国有企业,黑龙江,租房,无,有,0,21424,正在偿还
0000999993811036,陈假虏,141557****12303201,28,男,已婚,硕士及以上,其他企业,山西,租房,无,有,3,21450,现在没有贷款
0000999993811047,史门爸,443809****01279871,34,女,未婚,硕士及以上,其他企业,广东,自购房,有,有,9,21450,正常还款
0000999993811058,贡低晓,330379****03154168,40,男,未婚,本科,私营企业,浙江,自购房,有,有,17,21450,正在偿还
0000999993811069,国朗攀,141144****08117121,72,男,未婚,本科,外资企业,山西,租房,无,有,49,21450,现在没有贷款
0000999993811070,万牟平,509759****02019087,25,男,未婚,本科,私营企业,重庆,租房,无,有,2,21450,现在没有贷款
0000999993811081,关豆稳,111122****03151053,25,女,未婚,本科,外资企业,北京,租房,无,有,2,21450,现在没有贷款
0000999993811092,尤涌佬,415377****04149141,25,男,已婚,本科,个体户,河南,租房,无,有,2,21450,现在没有贷款
0000999993811105,毕沟糯,120409****01044735,59,男,已婚,本科,外资企业,天津,租房,无,有,36,21450,现在没有贷款
0000999993811116,池磷纺,212694****11072956,22,男,已婚,本科,其他企业,辽宁,租房,无,有,0,21450,现在没有贷款
0000999993811127,蒋裙宰,371365****03317044,26,男,未婚,本科,私营企业,山东,租房,无,有,3,21450,正在偿还
0000999993811138,危傥拼,628095****03209043,25,男,已婚,本科,外资企业,甘肃,租房,无,有,2,21450,正在偿还
0000999993811149,荣股,540363****11268795,25,男,未婚,本科,私营企业,北京,租房,无,有,2,21450,正在偿还
0000999993811150,王江漳,537372****01147150,54,男,已婚,本科,私营企业,贵州,租房,无,有,31,21450,正在偿还
0000999993811161,伊军翘,316463****02030126,28,男,已婚,硕士及以上,其他企业,上海,自购房,有,有,3,21450,正在偿还
0000999993811172,逄冒县,439449****12102834,41,女,已婚,硕士及以上,其他企业,湖南,自购房,有,有,16,21450,正常还款
0000999993811183,查市澜,335102****10268056,36,男,未婚,本科,其他企业,浙江,自购房,有,有,13,21509,正在偿还
0000999993811194,杜掖骋,616252****01117353,45,男,未婚,硕士及以上,私营企业,陕西,租房,无,有,20,21509,现在没有贷款
0000999993811207,束干汹,610570****07063664,22,男,已婚,本科,其他企业,陕西,租房,无,有,0,21509,正在偿还
0000999993811218,燕侣饶,457110****09019425,26,女,未婚,本科,私营企业,广西,自购房,有,有,3,21509,正常还款
0000999993811229,舒亲唇,537818****04295968,23,男,未婚,本科,外资企业,贵州,租房,无,有,0,21509,正在偿还
0000999993811230,文勾雅,458470****07077604,27,女,已婚,硕士及以上,私营企业,广西,租房,无,有,2,21509,现在没有贷款
0000999993811241,郑泌杀,374231****03188813,36,男,离异,硕士及以上,私营企业,山东,租房,无,有,11,21509,正在偿还
0000999993811252,焦饶嫡,228547****06075028,45,女,离异,本科,个体户,吉林,租房,无,有,22,21509,正在偿还
0000999993811263,范禾也,311655****01065472,26,男,已婚,本科,私营企业,上海,租房,无,有,3,21509,正常还款
0000999993811274,安子墓,326554****03138387,29,男,未婚,高中,私营企业,江苏,租房,无,无,11,21548,还在拖欠
0000999993811285,贾缴扇,518967****10199524,26,男,已婚,初中及以下,私营企业,四川,租房,无,无,12,21548,现在没有贷款
0000999993811296,廖睦褐,236969****02196899,29,女,已婚,本科,个体户,黑龙江,租房,无,有,6,21548,现在没有贷款
0000999993811309,殷掏乩,216033****09126986,31,女,已婚,硕士及以上,私营企业,辽宁,租房,无,有,6,21548,现在没有贷款
0000999993811310,黄捶倘,153134****10202869,45,男,未婚,本科,个体户,内蒙古,租房,无,有,22,21548,现在没有贷款
0000999993811321,蔡景拇,121484****12105639,29,男,未婚,大专,国有企业,天津,租房,无,无,9,21548,现在没有贷款
0000999993811332,聂们爸,535152****07038604,27,男,未婚,初中及以下,私营企业,贵州,自购房,有,有,11,21548,现在没有贷款
0000999993811343,邢低晓,456438****02121315,27,女,未婚,初中及以下,私营企业,广西,租房,无,无,12,21548,现在没有贷款
0000999993811354,景坡伊,469049****09287507,45,男,离异,大专,私营企业,海南,租房,无,无,25,21548,现在没有贷款
0000999993811365,韦凸囊,614981****06013242,26,女,已婚,大专,私营企业,陕西,租房,无,无,6,21548,现在没有贷款
0000999993811376,吉阳豆,375709****02149555,27,男,未婚,高中,外资企业,山东,租房,无,无,9,21548,现在没有贷款
0000999993811387,吕话恿,152070****08019863,28,女,未婚,大专,私营企业,内蒙古,租房,无,无,8,21548,正在偿还
0000999993811398,融浦素,127446****09049696,29,男,未婚,大专,私营企业,天津,租房,无,无,9,21548,正常还款
0000999993811401,洪世费,463356****09192505,36,男,未婚,高中,私营企业,海南,自购房,有,有,18,21548,正在偿还
0000999993811412,王进仔,148510****03093101,26,女,未婚,本科,私营企业,山西,租房,无,有,3,21548,现在没有贷款
0000999993811423,云傩贫,235308****07106213,26,男,未婚,本科,个体户,黑龙江,租房,无,有,3,21548,正在偿还
0000999993811434,尹股就,612460****03050346,25,女,未婚,本科,个体户,陕西,租房,无,有,2,21548,现在没有贷款
0000999993811445,吕康灼,136406****05185530,29,男,未婚,大专,其他企业,河北,租房,无,无,9,21548,现在没有贷款
0000999993811456,喻苯商,633124****08199507,28,女,未婚,大专,其他企业,青海,租房,无,无,8,21548,现在没有贷款
0000999993811467,孟掳馅,446403****09092402,26,男,未婚,本科,私营企业,广东,租房,无,有,3,21548,现在没有贷款
0000999993811478,申室揽,505317****12305915,26,男,未婚,本科,私营企业,重庆,租房,无,有,3,21548,现在没有贷款
0000999993811489,魏掖骋,118230****12243978,26,男,未婚,本科,私营企业,北京,租房,无,有,3,21548,现在没有贷款
0000999993811490,樊干汹,655456****12182288,29,男,未婚,大专,私营企业,北京,租房,无,无,9,21548,现在没有贷款
0000999993811503,松履绕,659719****12109876,45,男,已婚,本科,私营企业,北京,租房,无,有,22,21590,现在没有贷款
0000999993811514,孔琴纯,462623****06083157,24,男,已婚,本科,私营企业,海南,租房,无,有,1,21590,正在偿还
0000999993811525,龙苟亚,238256****04091076,29,男,未婚,大专,私营企业,黑龙江,租房,无,无,9,21590,正常还款
0000999993811536,边首韩,356918****01095501,25,女,未婚,本科,外资企业,福建,租房,无,有,2,21590,正在偿还
0000999993811547,明淹枪,632696****12131084,26,男,未婚,本科,外资企业,青海,租房,无,有,3,21590,现在没有贷款
0000999993811558,武侔何,129464****07107603,45,女,已婚,本科,私营企业,天津,自购房,有,有,22,21590,正在偿还
0000999993811569,严颗字,322674****07156718,18,男,未婚,初中及以下,个体户,江苏,自购房,有,有,12,21590,正在偿还
0000999993811570,金山狭,374147****10193866,26,女,未婚,本科,私营企业,山东,自购房,有,有,3,21590,正常还款
0000999993811581,江幸,527591****06159435,26,男,未婚,本科,私营企业,贵州,自购房,有,有,3,21590,正在偿还
0000999993811592,晁纶诶,227039****05182684,26,男,未婚,本科,外资企业,吉林,租房,无,有,3,21611,现在没有贷款
0000999993811604,张陶易,357122****11295020,27,女,未婚,硕士及以上,私营企业,福建,租房,无,无,2,21611,现在没有贷款
0000999993811615,宫芽拘,370654****11167225,26,男,未婚,本科,个体户,山东,租房,无,无,3,21611,现在没有贷款
0000999993811626,唐们柏,615729****10293580,25,女,已婚,本科,个体户,陕西,租房,无,有,2,21611,现在没有贷款
0000999993811637,和迪偷,539944****01026245,26,男,未婚,本科,国有企业,上海,租房,无,有,3,21611,现在没有贷款
0000999993811648,夏婆颐,624176****04123510,29,女,已婚,本科,个体户,甘肃,租房,无,有,6,21681,现在没有贷款
0000999993811659,东突囊,354865****12031904,38,男,未婚,硕士及以上,私营企业,福建,租房,无,有,13,21681,现在没有贷款
0000999993811660,元丈痘,115405****08032789,44,男,未婚,初中及以下,私营企业,北京,租房,无,无,15,21681,现在没有贷款
0000999993811671,段徊用,153776****06260174,25,女,未婚,本科,私营企业,内蒙古,租房,无,有,2,21681,现在没有贷款
0000999993811682,卓浦粟,141761****01123140,34,女,未婚,高中,外资企业,山西,租房,无,无,16,21681,现在没有贷款
0000999993811693,卞事酚,362379****06308737,44,男,离异,初中及以下,私营企业,江西,租房,无,无,12,21681,正常还款
0000999993811706,浦际仔,421528****06150366,54,女,未婚,本科,个体户,湖北,自购房,有,有,31,21681,正在偿还
0000999993811717,敖途敖,152100****03217743,21,男,已婚,初中及以下,私营企业,内蒙古,自购房,有,有,17,21681,现在没有贷款
0000999993811728,薛状屯,655014****09160853,29,女,未婚,初中及以下,私营企业,北京,租房,无,无,17,21681,正在偿还
0000999993811739,家陈康,623902****11241715,27,男,未婚,硕士及以上,国有企业,甘肃,租房,无,有,2,21767,正在偿还
0000999993811740,鱼淖苯,465084****05296784,26,女,未婚,本科,其他企业,海南,租房,无,有,3,21767,正常还款
0000999993811751,关弦栽,226173****07036706,25,男,未婚,本科,私营企业,吉林,租房,无,有,2,21767,正在偿还
0000999993811762,羊蛹捞,522853****12094776,26,女,未婚,本科,外资企业,上海,租房,无,有,3,21767,现在没有贷款
0000999993811773,曹琶吃,446791****12312380,26,男,未婚,本科,私营企业,广东,自购房,有,有,3,21767,现在没有贷款
0000999993811784,任杆斜,374443****08264098,45,男,已婚,高中,私营企业,山东,自购房,有,有,27,21767,现在没有贷款
0000999993811795,宋履热,454838****09054296,29,男,未婚,大专,私营企业,广西,租房,无,无,9,21767,现在没有贷款
0000999993811808,艾前戳,624938****01179177,18,女,未婚,高中,外资企业,甘肃,租房,无,无,0,21767,现在没有贷款
0000999993811819,樊垢焉,149846****08013645,23,男,已婚,本科,私营企业,山西,自购房,有,有,0,21767,现在没有贷款
0000999993811820,吉掷孟,635634****04061057,27,男,离异,本科,私营企业,青海,租房,无,有,4,21776,正在偿还
0000999993811831,戎即炔,652126****09244284,27,男,未婚,高中,私营企业,北京,租房,无,无,9,21776,正在偿还
0000999993811842,奚谜姑,613713****11055166,28,男,未婚,初中及以下,私营企业,陕西,租房,无,无,27,21776,正在偿还
0000999993811853,乐透僦,150760****10241631,29,女,已婚,本科,私营企业,内蒙古,租房,无,有,6,21776,正在偿还
0000999993811864,马丝蚜,332447****09273426,29,男,离异,本科,外资企业,浙江,自购房,有,有,6,21776,正在偿还
0000999993811875,苏性胶,520435****07092872,30,男,已婚,本科,私营企业,上海,租房,无,有,7,21776,正常还款
0000999993811886,索卤诼,510197****06158524,25,男,未婚,本科,外资企业,四川,租房,无,有,2,21776,正在偿还
0000999993811897,王垂淌,137797****09280638,26,男,未婚,本科,私营企业,河北,自购房,有,有,3,21776,现在没有贷款
0000999993811900,蔚炮奄,142164****08159351,27,男,已婚,大专,其他企业,山西,自购房,有,有,7,21776,正在偿还
0000999993811911,于照录,322168****02248033,31,女,已婚,本科,私营企业,江苏,租房,无,有,8,21780,正常还款
0000999993811922,冉猿笛,424803****11150891,31,男,未婚,本科,私营企业,湖北,自购房,有,有,8,21780,正在偿还
0000999993811933,许喝屹,372188****05206223,32,女,未婚,本科,个体户,山东,租房,无,无,9,21780,现在没有贷款
0000999993811944,安帕思,639361****10228049,32,男,未婚,初中及以下,个体户,青海,租房,无,无,40,21780,正在偿还
0000999993811955,劳芍都,418468****04272183,32,女,未婚,本科,私营企业,河南,租房,无,无,9,21780,正在偿还
0000999993811966,茅徊用,527548****03034714,32,男,未婚,本科,私营企业,上海,自购房,有,有,9,21802,正常还款
0000999993811977,宣曝粟,323122****10115005,32,男,未婚,本科,国有企业,江苏,自购房,有,有,9,21802,正在偿还
0000999993811988,金事褂,421633****05319668,34,男,已婚,本科,私营企业,湖北,租房,无,无,11,21802,现在没有贷款
0000999993811999,伏臼职,150983****04049057,37,女,已婚,本科,私营企业,内蒙古,租房,无,无,14,21802,现在没有贷款
0000999993812007,林耙雀,364345****01036129,35,男,已婚,本科,私营企业,江西,租房,无,无,12,21802,现在没有贷款
0000999993812018,甄寥颓,524007****10119368,37,男,已婚,本科,外资企业,上海,自购房,有,有,14,21820,现在没有贷款
0000999993812029,钱删空,117189****07233302,40,男,未婚,本科,个体户,北京,租房,无,无,17,21820,现在没有贷款
0000999993812030,童刑笨,539398****04144772,40,男,未婚,本科,国有企业,上海,租房,无,无,17,21820,现在没有贷款
0000999993812041,贡弦灾,469803****05285107,41,女,已婚,本科,外资企业,海南,租房,无,无,18,21820,现在没有贷款
0000999993812052,刘泳老,502168****01198692,42,男,未婚,硕士及以上,私营企业,重庆,租房,无,有,17,21820,现在没有贷款
0000999993812063,鱼排仓,231358****08049400,44,女,已婚,本科,国有企业,黑龙江,租房,无,有,21,21820,现在没有贷款
0000999993812074,隆杆斜,430875****06239773,45,男,未婚,本科,外资企业,湖南,租房,无,有,22,21820,现在没有贷款
0000999993812085,朱闪绽,624238****06163693,46,女,离异,大专,外资企业,甘肃,租房,无,无,26,21820,正在偿还
0000999993812096,焦懈菩,531201****02053771,42,女,未婚,本科,私营企业,上海,租房,无,有,19,21820,正常还款
0000999993812109,王嘏垢,638731****03232992,46,男,已婚,硕士及以上,其他企业,青海,租房,无,有,21,21825,正在偿还
0000999993812110,王滞毕,455505****07101100,49,男,已婚,本科,外资企业,广西,租房,无,有,26,21825,现在没有贷款
0000999993812121,晏卜嗜,450554****04145245,51,男,未婚,硕士及以上,其他企业,广西,租房,无,有,26,21825,正在偿还
0000999993812132,潘峡夹,373053****01188852,52,男,已婚,本科,私营企业,山东,租房,无,有,29,21825,现在没有贷款
0000999993812143,毕燎儇,376689****01072321,54,男,离异,硕士及以上,私营企业,山东,租房,无,有,29,21825,现在没有贷款
0000999993812154,罗思衙,416189****12284064,55,女,未婚,高中,私营企业,河南,租房,无,无,37,21825,现在没有贷款
0000999993812165,弘兄郊,129776****06225841,55,女,未婚,本科,外资企业,天津,租房,有,有,32,21825,现在没有贷款
0000999993812176,应鲁谀,513360****12085663,46,男,已婚,大专,外资企业,四川,自购房,有,有,26,21825,现在没有贷款
0000999993812187,蓬右囱,410174****10268767,51,男,已婚,本科,私营企业,河南,租房,无,有,28,21825,现在没有贷款
0000999993812198,魏谏卸,135855****05031186,29,男,未婚,大专,私营企业,河北,租房,无,无,9,21871,现在没有贷款
0000999993812201,柯分蒙,504804****09105343,21,男,已婚,大专,私营企业,重庆,租房,无,无,1,21871,正在偿还
0000999993812212,逄壤笛,427428****02023032,28,女,未婚,大专,外资企业,湖北,租房,无,无,8,21871,正常还款
0000999993812223,杨踊亟,454897****10034827,33,男,未婚,大专,私营企业,广西,租房,无,无,13,21871,正常还款
0000999993812234,柯仔亩,633557****05052591,41,女,已婚,本科,个体户,青海,租房,无,有,18,21871,正在偿还
0000999993812245,相韶毒,318769****11257051,26,男,未婚,本科,私营企业,上海,租房,无,有,3,21871,正在偿还
0000999993812256,奚谕教,343809****08299486,59,女,已婚,硕士及以上,其他企业,安徽,租房,无,有,34,21887,正常还款
0000999993812267,盛改燕,332157****06166563,60,男,未婚,本科,私营企业,浙江,租房,无,有,37,21887,正在偿还
0000999993812278,胥姥棠,223970****04079009,61,女,已婚,本科,私营企业,吉林,租房,无,有,38,21887,现在没有贷款
0000999993812289,周鸦咎,129970****04211474,62,男,未婚,本科,私营企业,天津,租房,无,有,39,21887,现在没有贷款
0000999993812290,唐贝陡,524410****04233624,26,女,未婚,本科,国有企业,上海,租房,无,有,3,21887,现在没有贷款
0000999993812303,蒙邓捅,342221****05087305,26,男,未婚,本科,私营企业,安徽,租房,无,有,3,21902,正在偿还
0000999993812314,汪矣抗,454163****07119918,21,女,已婚,本科,私营企业,广西,租房,无,无,0,21902,正常还款
0000999993812325,贾馁笨,468647****07223969,32,女,已婚,硕士及以上,私营企业,海南,租房,无,无,7,21902,正在偿还
0000999993812336,胡显灾,111172****07045755,26,男,未婚,本科,私营企业,北京,租房,无,无,3,21902,现在没有贷款
0000999993812347,周泳老,654064****03218146,26,男,未婚,本科,私营企业,北京,租房,无,有,3,21902,正在偿还
0000999993812358,仰牌仓,655488****07274519,21,男,已婚,大专,个体户,北京,租房,无,无,1,21902,正常还款
0000999993812369,谭谆负,341952****06072841,26,男,未婚,大专,私营企业,安徽,租房,无,无,6,21902,正在偿还
0000999993812370,余成允,135822****04061299,34,女,未婚,本科,私营企业,河北,自购房,有,有,11,21902,现在没有贷款
0000999993812381,侯豢遣,359072****10264720,28,男,未婚,大专,其他企业,福建,自购房,有,有,8,21902,正在偿还
0000999993812392,广淘缓,369570****11161306,26,男,未婚,本科,个体户,江西,自购房,有,有,3,21950,正在偿还
0000999993812405,通燕逞,623614****01219570,47,女,已婚,本科,国有企业,甘肃,租房,无,有,24,21950,正常还款
0000999993812416,庞补适,456831****11146772,26,男,未婚,本科,私营企业,广西,租房,无,有,3,21950,正在偿还
0000999993812427,弘狭家,505854****04304124,45,男,已婚,本科,其他企业,重庆,租房,无,有,22,21950,现在没有贷款
0000999993812438,钱荡脸,416913****05292353,37,男,未婚,本科,外资企业,河南,自购房,有,有,14,21950,现在没有贷款
0000999993812449,曲贾材,646401****11296258,31,女,未婚,本科,私营企业,宁夏,租房,无,有,8,21975,现在没有贷款
0000999993812450,衡母兄,134469****12236493,40,男,离异,本科,个体户,河北,租房,无,有,17,21975,现在没有贷款
0000999993812461,费胀鲁,450726****11238008,40,女,离异,大专,私营企业,广西,租房,无,无,20,21975,现在没有贷款
0000999993812472,屈慈菏,504518****08187182,26,男,未婚,本科,私营企业,重庆,租房,无,有,3,21975,现在没有贷款
0000999993812483,戈共衙,126980****06097111,26,女,未婚,本科,私营企业,天津,租房,无,有,3,21975,现在没有贷款
0000999993812494,柯趾盟,503505****04209076,26,男,未婚,本科,外资企业,重庆,租房,无,有,3,21975,正在偿还
0000999993812507,巴档环,618334****09107839,30,女,已婚,硕士及以上,私营企业,陕西,租房,无,有,5,21975,正常还款
0000999993812518,姜菏野,523888****08110668,39,男,离异,本科,国有企业,上海,租房,无,有,16,21975,正在偿还
0000999993812529,蓟滓母,522352****02092913,32,男,已婚,本科,私营企业,上海,租房,无,有,9,21975,现在没有贷款
0000999993812530,龚粟咐,533018****06244155,27,女,未婚,硕士及以上,其他企业,贵州,租房,无,有,2,22035,正在偿还
0000999993812541,武毕教,531849****01286572,25,男,未婚,本科,私营企业,贵州,租房,无,有,2,22035,现在没有贷款
0000999993812552,彭改诒,153312****05032138,27,男,未婚,硕士及以上,私营企业,内蒙古,租房,无,有,2,22035,现在没有贷款
0000999993812563,左烙唐,639191****07029457,33,男,已婚,初中及以下,私营企业,青海,租房,无,无,4,22035,现在没有贷款
0000999993812574,边鸦咎,501267****07257560,34,男,未婚,本科,个体户,重庆,自购房,有,有,11,22035,现在没有贷款
0000999993812585,晁倍陡,516327****11136227,48,女,已婚,初中及以下,私营企业,四川,租房,无,无,15,22058,现在没有贷款
0000999993812596,郁邓捅,362040****11268359,45,男,已婚,高中,私营企业,江西,租房,无,无,27,22058,现在没有贷款
0000999993812608,周矣抗,620610****05057576,29,男,未婚,大专,私营企业,甘肃,自购房,有,有,9,22058,现在没有贷款
0000999993812619,史干那,454562****08101993,29,男,已婚,本科,私营企业,广西,租房,无,有,6,22058,现在没有贷款
0000999993812620,白揽敦,535322****02043961,32,男,未婚,大专,国有企业,贵州,租房,无,无,12,22058,正在偿还
0000999993812631,孔峭永,453063****02177675,47,女,已婚,大专,私营企业,广西,自购房,有,有,27,22058,正常还款
0000999993812642,祝胤湃,370786****11298832,28,男,未婚,大专,其他企业,山东,租房,无,无,8,22058,现在没有贷款
0000999993812653,包岗江,526273****01063196,29,女,未婚,大专,外资企业,贵州,租房,无,无,9,22058,正在偿还
0000999993812664,竺狡林,339200****12197267,27,男,已婚,高中,私营企业,浙江,租房,无,无,9,22058,正在偿还
0000999993812675,熊蔽纱,655064****09127571,59,女,未婚,大专,私营企业,北京,租房,无,无,39,22074,正常还款
0000999993812686,邓磺了,524715****11190447,25,男,已婚,本科,私营企业,上海,租房,无,有,2,22074,正在偿还
0000999993812697,查辣芈,543487****02187327,29,女,未婚,大专,私营企业,北京,自购房,有,有,9,22074,现在没有贷款
0000999993812700,巫补适,131171****07125412,26,男,未婚,本科,外资企业,河北,租房,无,无,3,22074,现在没有贷款
0000999993812711,卓泌县,461195****11098399,45,女,已婚,本科,国有企业,海南,租房,无,无,22,22074,现在没有贷款
0000999993812722,罗市谰,541870****07290997,29,男,未婚,大专,私营企业,北京,租房,无,无,9,22078,现在没有贷款
0000999993812733,邴页逞,523122****06102865,25,男,已婚,大专,私营企业,上海,租房,无,无,5,22078,现在没有贷款
0000999993812744,廖溉匈,369460****06097094,27,女,未婚,高中,私营企业,江西,租房,无,无,9,22078,现在没有贷款
0000999993812755,游吕饶,422248****05222968,29,男,未婚,高中,私营企业,湖北,租房,无,无,11,22078,现在没有贷款
0000999993812766,芮亲唇,545714****10289615,18,女,未婚,初中及以下,外资企业,北京,租房,无,无,14,22078,现在没有贷款
0000999993812777,戚勾雅,337004****03073366,25,男,未婚,本科,个体户,浙江,自购房,有,有,2,22078,现在没有贷款
0000999993812788,廉旨猛,315250****05119246,29,女,未婚,初中及以下,个体户,上海,租房,无,无,16,22081,正常还款
0000999993812799,舒及融,627998****01137905,26,男,未婚,本科,私营企业,甘肃,租房,无,有,3,22081,正在偿还
0000999993812802,弓叛豢,211216****09267722,30,男,未婚,本科,私营企业,辽宁,租房,无,有,7,22081,现在没有贷款
0000999993812813,利投僖,427677****10153411,28,男,未婚,初中及以下,私营企业,湖北,租房,无,无,39,22081,正常还款
0000999993812824,米乔亚,375476****09228739,30,男,未婚,本科,外资企业,山东,租房,无,有,7,22081,正在偿还
0000999993812835,瞿醒书,354896****08148043,28,男,丧偶,初中及以下,私营企业,福建,租房,无,无,14,22081,现在没有贷款
0000999993812846,钟沦诳,345339****07315408,25,女,已婚,初中及以下,私营企业,安徽,租房,无,无,14,22081,现在没有贷款
0000999993812857,单吹唐,634945****04250852,30,男,未婚,本科,私营企业,青海,自购房,有,有,7,22081,现在没有贷款
0000999993812868,宁堪牟,611319****12313057,29,女,未婚,大专,其他企业,陕西,租房,无,无,9,22081,现在没有贷款
0000999993812879,韦门爸,624539****02206259,27,男,已婚,硕士及以上,其他企业,甘肃,租房,无,有,2,22130,现在没有贷款
0000999993812880,池低晓,530441****08262478,37,女,未婚,本科,外资企业,上海,租房,无,有,14,22130,现在没有贷款
0000999993812891,李艺炕,656257****08095633,59,男,已婚,本科,私营企业,北京,租房,无,有,36,22130,正在偿还
0000999993812904,聂杆那,312866****11073587,28,男,未婚,初中及以下,个体户,上海,租房,无,无,22,22130,正在偿还
0000999993812915,柯揽敦,515714****02248105,27,女,未婚,硕士及以上,其他企业,四川,租房,无,有,2,22130,正在偿还
0000999993812926,桂窍勇,352507****08172949,26,男,已婚,本科,私营企业,福建,自购房,有,有,3,22130,正在偿还
0000999993812937,凤普妥,452071****03288824,34,女,未婚,本科,私营企业,广西,租房,无,有,11,22130,正在偿还
0000999993812948,管炭瓜,633860****11109687,36,男,未婚,硕士及以上,其他企业,青海,租房,无,有,11,22130,正常还款
0000999993812959,后酒林,619943****09243456,18,女,未婚,初中及以下,私营企业,陕西,租房,无,无,22,22130,正在偿还
0000999993812960,吕蔽纱,314704****08066645,28,男,离异,本科,个体户,上海,租房,无,有,5,22160,现在没有贷款
0000999993812971,李履蚊,543437****08089149,32,女,未婚,初中及以下,私营企业,北京,租房,无,无,23,22160,正在偿还
0000999993812982,郁苫坑,509041****12136145,30,男,未婚,本科,私营企业,重庆,租房,无,有,7,22160,正常还款
0000999993812993,朱讶不,371282****08304703,35,男,已婚,初中及以下,私营企业,山东,自购房,有,有,31,22160,正在偿还
0000999993813000,颜凡厦,432474****06072992,36,男,未婚,高中,私营企业,湖南,租房,无,无,18,22160,现在没有贷款
0000999993813011,于林勤,625556****07122328,53,男,已婚,硕士及以上,私营企业,甘肃,租房,无,有,28,22160,正在偿还
0000999993813022,褚坡秤,356956****05017689,24,男,已婚,本科,私营企业,福建,租房,无,有,1,22282,正在偿还
0000999993813033,仇甘邪,659105****10212211,28,女,未婚,大专,私营企业,北京,自购房,有,有,8,22282,正常还款
0000999993813044,冉侣绕,214869****03273085,28,男,未婚,本科,私营企业,辽宁,租房,无,有,5,22282,正在偿还
0000999993813055,贝琴纯,158704****07036768,40,女,离异,本科,外资企业,内蒙古,租房,无,有,17,22282,现在没有贷款
0000999993813066,廖勾雅,223266****04159349,43,男,已婚,硕士及以上,其他企业,吉林,租房,无,有,18,22282,现在没有贷款
0000999993813077,敖美磐,124476****04064092,28,女,未婚,大专,私营企业,天津,自购房,有,有,8,22282,现在没有贷款
